frequency(Hz)	neutral	distress
233.0	1.0144736639642908	1.0337747345024424
234.0	0.8623512847277442	1.042784635628373
235.0	0.872923661632413	1.0247969157040204
236.0	0.8167846495636926	0.9116944984373886
237.0	0.9445915131885863	0.982687326119173
238.0	0.9972602728679928	1.017658488077824
239.0	0.9552378813339563	1.1246657536344888
240.0	1.2437388258539626	1.1454938895347215
241.0	1.0867858730107096	1.1448102324493135
242.0	1.1679701816637953	1.1843789231360244
243.0	1.2325742557557189	1.235158886539445
244.0	1.2294981572662786	1.3830105084576878
245.0	1.1164803591866073	1.1838757173628869
246.0	0.9795969103858874	1.2337102167043423
247.0	0.6533262403933369	1.1305821408020666
248.0	0.7829667156788006	1.1908788076410073
249.0	0.8463871754663806	1.0481750533059575
-250.0	0.7059600833624478	0.9235388350941484
-249.0	0.8463871754663806	1.0481750533059575
-248.0	0.7829667156788006	1.1908788076410073
-247.0	0.6533262403933369	1.1305821408020666
-246.0	0.9795969103858874	1.2337102167043423
-245.0	1.1164803591866073	1.1838757173628869
-244.0	1.2294981572662786	1.3830105084576878
-243.0	1.2325742557557189	1.235158886539445
-242.0	1.1679701816637953	1.1843789231360244
-241.0	1.0867858730107096	1.1448102324493135
-240.0	1.2437388258539626	1.1454938895347215
-239.0	0.9552378813339563	1.1246657536344888
-238.0	0.9972602728679928	1.017658488077824
-237.0	0.9445915131885863	0.982687326119173
-236.0	0.8167846495636926	0.9116944984373886
-235.0	0.872923661632413	1.0247969157040204
-234.0	0.8623512847277442	1.042784635628373
-233.0	1.0144736639642908	1.0337747345024424
-232.0	0.8681190018345853	1.1447388293016205
-231.0	0.8979526261472393	1.1556354129579354
-230.0	0.9718472217191698	0.9765993798360357
-229.0	1.0522481762548332	1.2677472784783412
-228.0	1.0237256117661415	1.2443511442353248
-227.0	1.0991621496367407	1.231527041717034
-226.0	1.0587947488051106	1.222092900188291
-225.0	1.160406536805148	1.2745591752067515
-224.0	1.0379159156934514	1.313914629964156
-223.0	1.1905306208024784	1.3706031209626641
-222.0	1.234721008027353	1.5587920474677
-221.0	1.1873780144801451	1.3808349919768548
-220.0	1.2123611744191842	1.3179187248736377
-219.0	1.2204935713406357	1.309630328086384
-218.0	1.1451180879655654	1.2488151994445325
-217.0	1.3226482892397542	1.499113083736489
-216.0	1.1792866553675412	1.2673798455443048
-215.0	1.3417951034774014	1.285254590158448
-214.0	1.2032702792832806	1.2373604093041444
-213.0	1.1076862183474454	1.127468596511288
-212.0	1.1078702262592173	1.2532485841706984
-211.0	1.2351958372177843	1.4735203324693775
-210.0	1.3772624460358815	1.2303330685729392
-209.0	1.103294659044142	1.3294528334501514
-208.0	1.0334177715220874	1.2671316512309223
-207.0	1.2809117682116802	1.3359674642181771
-206.0	1.1440808775396774	1.1433015541910587
-205.0	0.9785761395014133	1.1407581687614905
-204.0	1.0396842796671608	1.250444218049005
-203.0	0.9802953490959462	1.0915321141687013
-202.0	1.00352846722699	1.264236973741671
-201.0	0.8843638240163324	1.131598046955434
-200.0	1.016637079003033	1.2270528200466333
-199.0	0.9276163813021742	1.4814276872030143
-198.0	1.0183993115316867	1.3128622754644077
-197.0	1.1420150788915362	1.640416590160993
-196.0	1.1860198054574993	1.5700094615677755
-195.0	1.1088875090022512	1.6355188872105966
-194.0	1.2892897942542376	1.7771004500749183
-193.0	1.2434023150224378	1.6600585125357035
-192.0	1.1679404467586518	1.750294138218441
-191.0	1.084054585708013	1.5254060253062072
-190.0	0.8915992239869397	1.3598596441853776
-189.0	0.909094150901999	1.3663403065203885
-188.0	1.041005205677788	1.3419640233769945
-187.0	0.9903517639827135	1.283663860802903
-186.0	1.1158677231035006	1.3833757674174805
-185.0	1.2058732591778687	1.309648298780705
-184.0	1.0262901312071406	1.309571971670343
-183.0	1.1782224500999354	1.3027655165734076
-182.0	1.267528015984973	1.4834987045627905
-181.0	1.2884470527975505	1.3572741026259767
-180.0	1.0009756338017837	1.3810918589141352
-179.0	0.9212830607705789	1.286821298391397
-178.0	1.1354798051482295	1.2961464023597655
-177.0	0.9965393078951609	1.1416414144854836
-176.0	1.1143604988929061	1.2570804675756844
-175.0	1.0374647690157563	1.4556339223930086
-174.0	1.2504924728613087	1.2333535381922904
-173.0	1.2291299403268816	1.3039200332686338
-172.0	1.216003381082331	1.3345910567976993
-171.0	1.2231557637823631	1.2536626808068376
-170.0	1.2604380389291219	1.2301864082742608
-169.0	1.347112219573535	1.3430648979618574
-168.0	1.6030922501408764	1.481078128379508
-167.0	1.521197428408099	1.6615497743081065
-166.0	1.6308842342168341	1.7167184535983062
-165.0	1.5873527620890684	1.5566079950052645
-164.0	1.4626503275086937	1.827925454546989
-163.0	1.7371601872534133	1.4646355316252913
-162.0	1.7041552761312138	1.5538551136377452
-161.0	1.7680824754439144	1.4970481210631092
-160.0	1.415919918989909	1.5830956739869237
-159.0	1.42541200181166	1.6367946711925387
-158.0	1.698960714945712	1.549601977551836
-157.0	1.3540575270681425	1.4611572231060401
-156.0	1.1829762186788906	1.3722307519271661
-155.0	1.3291879032308498	1.292609473479428
-154.0	1.3436451428552703	1.5008528971722106
-153.0	1.3235144076841292	1.5286677712090353
-152.0	1.331879866613303	1.574849906039712
-151.0	1.4905338201338898	1.5847451099126264
-150.0	1.5106146989582119	1.607107701329099
-149.0	1.4060375922782025	1.480559641789382
-148.0	1.5782117803382545	1.647193732862514
-147.0	1.898898561956637	1.5348116275946335
-146.0	1.6754004766054122	1.3930156362002575
-145.0	1.645618608526577	1.7339633122619995
-144.0	1.9793194593426424	1.5453729465223978
-143.0	1.5311889733079513	1.5764813510113171
-142.0	1.4831756742151685	1.4586177793937365
-141.0	1.7397819346569277	1.6555554535804522
-140.0	1.801679234198526	1.656400055622433
-139.0	1.94313836900493	1.6143069389015137
-138.0	1.668773175628344	1.7222210731683667
-137.0	1.461047880402865	1.6042277710775052
-136.0	1.6524470608379156	1.724340885358756
-135.0	1.5659131091184813	1.6184246904521915
-134.0	1.572140368212684	1.798854718855228
-133.0	1.4013418199348928	1.6757240282709807
-132.0	1.5839756555338675	1.5878487652132551
-131.0	1.4168596296887537	1.701251384965806
-130.0	1.5328139028485537	1.6978960073740166
-129.0	1.5437583520515754	1.8894458128442466
-128.0	1.9840287111582786	1.9683371114429917
-127.0	1.5789212516038666	1.934380785886403
-126.0	1.6830312274076442	1.8280051695696777
-125.0	1.7589651640904727	1.8797206799024713
-124.0	1.4781530007892854	1.8203031845426365
-123.0	1.5891531741311402	2.4288082023585713
-122.0	1.9008241683761233	1.9852059049919684
-121.0	1.6329269273199538	2.250368020773598
-120.0	1.42699079552984	1.847555853397484
-119.0	1.535469061353152	1.7974717250441468
-118.0	1.6559310990058527	1.916407662060236
-117.0	1.7618595788562932	2.027274368883299
-116.0	1.7632380321235201	2.0808535826341714
-115.0	1.8713198261728263	1.8846146088071152
-114.0	1.7860306539383892	2.371734829628226
-113.0	1.8083097593255493	2.2665585648613633
-112.0	2.0806758482963787	2.262626775221468
-111.0	2.244510488535316	2.1679233751113305
-110.0	2.278384094687567	2.7811862497339557
-109.0	2.110970271441202	2.3633043379079055
-108.0	2.3301722944342624	2.520681453385784
-107.0	2.548265113015324	2.312795654151202
-106.0	1.8087781731499792	2.6850127394131085
-105.0	1.9394962273312477	2.22482486644736
-104.0	1.8282939677815766	2.395430852366294
-103.0	1.499063183258808	2.6794952265156176
-102.0	2.064822743432661	2.6873490079062794
-101.0	1.7756685470309634	2.8573430424688016
-100.0	2.1486644673928215	2.458790204336423
-99.0	2.27075399882277	2.9229401278754796
-98.0	2.4559008712438275	2.9395336682350997
-97.0	2.5983131915384288	2.740880814421573
-96.0	2.675394312201817	4.061501975599109
-95.0	2.2936772420390694	3.536608894119161
-94.0	2.638736464408222	3.1509435288480026
-93.0	2.3966453177763483	2.3889825681374233
-92.0	2.353195810407611	2.417634564533472
-91.0	1.8038070117568714	2.8985677937293524
-90.0	1.8359257092378716	2.4403767673133934
-89.0	1.9725689521541119	2.180724736427643
-88.0	1.8802167147002635	2.3189654290818145
-87.0	1.8037063722430509	2.168169527335685
-86.0	1.8795594610561959	2.4816096395446996
-85.0	1.9240868649760614	2.1543807874730283
-84.0	2.3630569677549853	2.2492507521912364
-83.0	1.8930470058951059	2.123574263924164
-82.0	1.5065805274121356	2.4040138210160373
-81.0	1.6171906026718366	2.485406386142975
-80.0	1.9335054792360427	2.035883233288055
-79.0	2.125865893271501	2.1787543015020634
-78.0	1.9256425019418775	2.3695652968244354
-77.0	2.063342569660365	2.1790483369105735
-76.0	2.2037012988340776	2.3107464768184314
-75.0	2.143728919265249	2.191101791205928
-74.0	2.2641303112395343	2.343877012791588
-73.0	2.2599410868597936	2.4111632461098824
-72.0	2.205292520646087	2.5193385329530886
-71.0	2.0845534921457785	2.51921851579715
-70.0	1.861989546506715	2.5921573298891545
-69.0	2.476093501260622	2.7141812684939146
-68.0	2.415640765589837	2.6822502368871652
-67.0	2.3784751284593537	2.575945583922655
-66.0	2.235549634136821	2.838483930884191
-65.0	2.0604238800326	2.929837170874374
-64.0	2.528570078323497	2.8251408251346306
-63.0	2.3494389412954493	3.0398999771098283
-62.0	2.579249174474394	2.885061728594546
-61.0	2.4997159265004636	2.962226580671483
-60.0	2.1448582437995722	2.7772131915451634
-59.0	2.273057704836585	3.1379656902257738
-58.0	2.8045057768091284	3.141575692253822
-57.0	2.450054535313303	2.9689986902407255
-56.0	2.2236799263433022	2.9846162758255463
-55.0	2.5309885920889323	3.0601188422959646
-54.0	2.481440493149737	3.432524891943856
-53.0	2.5133185845893107	3.2013667763067053
-52.0	2.890424590528646	3.562931567244472
-51.0	3.2640970763967245	3.119818082559002
-50.0	2.9135111013252053	3.544902625348151
-49.0	2.5551232846263	4.028601434814133
-48.0	2.3699836480492293	3.7826560295581446
-47.0	2.760512500261555	3.9403400933340684
-46.0	2.8747150856744983	3.8004449871335697
-45.0	2.637355766372277	3.8325950523835255
-44.0	2.559646785118791	3.5423931411255443
-43.0	2.310161351262529	3.7191540527153313
-42.0	3.0548437888508895	3.4427377611076637
-41.0	3.0078057101398277	3.616045902055126
-40.0	2.422660714286491	3.3259047873290566
-39.0	2.3394216809314665	3.8500707055857233
-38.0	2.4396136744007952	4.46963512283279
-37.0	3.0528128918841135	3.6366209069718836
-36.0	3.546198957346451	3.8086152624250422
-35.0	3.1753401996628727	4.17156181013385
-34.0	2.699066327777268	3.8614495853987463
-33.0	3.1057468459910202	4.211617874537119
-32.0	3.0928684068237025	4.080868878242092
-31.0	3.1481342359069595	4.1344623283644
-30.0	3.289778063131988	4.723580303922663
-29.0	3.2074516526700583	4.288242908485606
-28.0	3.2218807847624062	4.510542450850939
-27.0	3.4685949942257515	4.527783915905904
-26.0	3.6273444454522643	4.958437145418751
-25.0	3.7247794804901857	5.010173415443636
-24.0	3.6714773834004784	5.7751964864635426
-23.0	3.758430382519106	5.534364775128396
-22.0	3.5717163746467415	5.890271369182716
-21.0	3.6795673060163656	6.365344224702562
-20.0	3.798538311705154	6.572330398298694
-19.0	4.559616331671308	6.82836158365715
-18.0	4.140782481554457	7.6111479524860775
-17.0	5.011187672143006	8.037031133230277
-16.0	5.063252528833969	8.83175694849077
-15.0	5.007172662098795	9.04059820978473
-14.0	5.01233652750842	9.423548220285365
-13.0	5.106826119593488	10.704164407695018
-12.0	6.176591615754409	11.374209997683383
-11.0	5.737783813985132	14.279149472492895
-10.0	6.7839699234483914	15.976199531663429
-9.0	7.077109378145746	16.625283620880186
-8.0	7.972595796507489	24.874473108811284
-7.0	9.22447353618982	28.63363558344201
-6.0	9.457393415813169	34.847750985581015
-5.0	10.807460250598693	43.480996624168384
-4.0	12.582866924897555	66.61510109102012
-3.0	15.905515725570636	94.53116819088893
-2.0	24.905519976227463	206.15708624789303
-1.0	51.02822813114533	121.96315852297171
